episode_number,title,views,length,video_id,publish_date,url,guest_names,episode_title
1.0,Max Tegmark: Life 3.0 | Lex Fridman Podcast #1,297394,4978,Gi8LUnhP5yU,2018-04-19 00:00:00,https://www.youtube.com/watch?v=Gi8LUnhP5yU,Max Tegmark,Life 3.0
2.0,Christof Koch: Consciousness | Lex Fridman Podcast #2,227088,3474,piHkfmeU7Wo,2018-05-29 00:00:00,https://www.youtube.com/watch?v=piHkfmeU7Wo,Christof Koch,Consciousness
3.0,Steven Pinker: AI in the Age of Reason | Lex Fridman Podcast #3,130913,2273,epQxfSp-rdU,2018-10-17 00:00:00,https://www.youtube.com/watch?v=epQxfSp-rdU,Steven Pinker,AI in the Age of Reason
4.0,Yoshua Bengio: Deep Learning | Lex Fridman Podcast #4,122511,2538,azOmzumh0vQ,2018-10-20 00:00:00,https://www.youtube.com/watch?v=azOmzumh0vQ,Yoshua Bengio,Deep Learning
5.0,Vladimir Vapnik: Statistical Learning | Lex Fridman Podcast #5,70965,3242,STFcvzoxVw4,2018-11-16 00:00:00,https://www.youtube.com/watch?v=STFcvzoxVw4,Vladimir Vapnik,Statistical Learning
6.0,Guido van Rossum: Python | Lex Fridman Podcast #6,282567,5204,ghwaIiE3Nd8,2018-11-22 00:00:00,https://www.youtube.com/watch?v=ghwaIiE3Nd8,Guido van Rossum,Python
7.0,Jeff Atwood: Stack Overflow and Coding Horror | Lex Fridman Podcast #7,55191,4809,KZkYSSE8HHI,2018-11-29 00:00:00,https://www.youtube.com/watch?v=KZkYSSE8HHI,Jeff Atwood,Stack Overflow and Coding Horror
8.0,Eric Schmidt: Google | Lex Fridman Podcast #8,128354,1987,hIC9FQpxVwQ,2018-12-04 00:00:00,https://www.youtube.com/watch?v=hIC9FQpxVwQ,Eric Schmidt,Google
9.0,Stuart Russell: Long-Term Future of Artificial Intelligence | Lex Fridman Podcast #9,184572,5181,KsZI5oXBC0k,2018-12-09 00:00:00,https://www.youtube.com/watch?v=KsZI5oXBC0k,Stuart Russell,Long-Term Future of Artificial Intelligence
10.0,Pieter Abbeel: Deep Reinforcement Learning | Lex Fridman Podcast #10,62861,2564,l-mYLq6eZPY,2018-12-16 00:00:00,https://www.youtube.com/watch?v=l-mYLq6eZPY,Pieter Abbeel,Deep Reinforcement Learning
11.0,"Juergen Schmidhuber: Godel Machines, Meta-Learning, and LSTMs | Lex Fridman Podcast #11",121361,4798,3FIo6evmweo,2018-12-23 00:00:00,https://www.youtube.com/watch?v=3FIo6evmweo,Juergen Schmidhuber,"Godel Machines, Meta-Learning, and LSTMs"
12.0,Tuomas Sandholm: Poker and Game Theory | Lex Fridman Podcast #12,51138,3977,b7bStIQovcY,2018-12-28 00:00:00,https://www.youtube.com/watch?v=b7bStIQovcY,Tuomas Sandholm,Poker and Game Theory
13.0,"Tomaso Poggio: Brains, Minds, and Machines | Lex Fridman Podcast #13",57980,4820,aSyZvBrPAyk,2019-01-19 00:00:00,https://www.youtube.com/watch?v=aSyZvBrPAyk,Tomaso Poggio,"Brains, Minds, and Machines"
14.0,Kyle Vogt: Cruise Automation | Lex Fridman Podcast #14,38478,3324,YUYagvESisE,2019-02-07 00:00:00,https://www.youtube.com/watch?v=YUYagvESisE,Kyle Vogt,Cruise Automation
15.0,"Leslie Kaelbling: Reinforcement Learning, Planning, and Robotics | Lex Fridman Podcast #15",38249,3683,Er7Dy8rvqOc,2019-03-12 00:00:00,https://www.youtube.com/watch?v=Er7Dy8rvqOc,Leslie Kaelbling,"Reinforcement Learning, Planning, and Robotics"
16.0,"Eric Weinstein: Revolutionary Ideas in Science, Math, and Society | Lex Fridman Podcast #16",803835,4916,2wq9x2QcZN0,2019-03-20 00:00:00,https://www.youtube.com/watch?v=2wq9x2QcZN0,Eric Weinstein,"Revolutionary Ideas in Science, Math, and Society"
17.0,Greg Brockman: OpenAI and AGI | Lex Fridman Podcast #17,136000,5107,bIrEM2FbOLU,2019-04-03 00:00:00,https://www.youtube.com/watch?v=bIrEM2FbOLU,Greg Brockman,OpenAI and AGI
18.0,Elon Musk: Tesla Autopilot | Lex Fridman Podcast #18,2079003,1965,dEv99vxKjVI,2019-04-12 00:00:00,https://www.youtube.com/watch?v=dEv99vxKjVI,Elon Musk,Tesla Autopilot
19.0,Ian Goodfellow: Generative Adversarial Networks (GANs) | Lex Fridman Podcast #19,226424,4117,Z6rxFNMGdn0,2019-04-18 00:00:00,https://www.youtube.com/watch?v=Z6rxFNMGdn0,Ian Goodfellow,Generative Adversarial Networks (GANs)
20.0,"Oriol Vinyals: DeepMind AlphaStar, StarCraft, and Language | Lex Fridman Podcast #20",75847,6361,Kedt2or9xlo,2019-04-29 00:00:00,https://www.youtube.com/watch?v=Kedt2or9xlo,Oriol Vinyals,"DeepMind AlphaStar, StarCraft, and Language"
21.0,"Chris Lattner: Compilers, LLVM, Swift, TPU, and ML Accelerators | Lex Fridman Podcast #21",159155,4386,yCd3CzGSte8,2019-05-13 00:00:00,https://www.youtube.com/watch?v=yCd3CzGSte8,Chris Lattner,"Compilers, LLVM, Swift, TPU, and ML Accelerators"
22.0,Rajat Monga: TensorFlow | Lex Fridman Podcast #22,36527,4258,NERNE4UThHU,2019-06-03 00:00:00,https://www.youtube.com/watch?v=NERNE4UThHU,Rajat Monga,TensorFlow
23.0,Gavin Miller: Adobe Research | Lex Fridman Podcast #23,20155,4151,q0mokx-iiws,2019-06-10 00:00:00,https://www.youtube.com/watch?v=q0mokx-iiws,Gavin Miller,Adobe Research
24.0,"Rosalind Picard: Affective Computing, Emotion, Privacy, and Health | Lex Fridman Podcast #24",30373,3611,kq0VO1FqE6I,2019-06-17 00:00:00,https://www.youtube.com/watch?v=kq0VO1FqE6I,Rosalind Picard,"Affective Computing, Emotion, Privacy, and Health"
25.0,Jeff Hawkins: Thousand Brains Theory of Intelligence | Lex Fridman Podcast #25,315143,7782,-EVqrDlAqYo,2019-07-01 00:00:00,https://www.youtube.com/watch?v=-EVqrDlAqYo,Jeff Hawkins,Thousand Brains Theory of Intelligence
26.0,"Sean Carroll: The Nature of the Universe, Life, and Intelligence | Lex Fridman Podcast #26",223062,2090,l-NJrvyRo0c,2019-07-10 00:00:00,https://www.youtube.com/watch?v=l-NJrvyRo0c,Sean Carroll,"The Nature of the Universe, Life, and Intelligence"
27.0,Kai-Fu Lee: AI Superpowers - China and Silicon Valley | Lex Fridman Podcast #27,192140,5187,cQ48rP_Rs4g,2019-07-15 00:00:00,https://www.youtube.com/watch?v=cQ48rP_Rs4g,Kai-Fu Lee,AI Superpowers - China and Silicon Valley
28.0,"Chris Urmson: Self-Driving Cars at Aurora, Google, CMU, and DARPA | Lex Fridman Podcast #28",32751,2688,Tj6NOfdfa4o,2019-07-22 00:00:00,https://www.youtube.com/watch?v=Tj6NOfdfa4o,Chris Urmson,"Self-Driving Cars at Aurora, Google, CMU, and DARPA"
29.0,Gustav Soderstrom: Spotify | Lex Fridman Podcast #29,46981,6424,v-9Mpe7NhkM,2019-07-29 00:00:00,https://www.youtube.com/watch?v=v-9Mpe7NhkM,Gustav Soderstrom,Spotify
30.0,Kevin Scott: Microsoft CTO | Lex Fridman Podcast #30,37525,3464,QDN6xvhAw94,2019-08-01 00:00:00,https://www.youtube.com/watch?v=QDN6xvhAw94,Kevin Scott,Microsoft CTO
31.0,"George Hotz: Comma.ai, OpenPilot, and Autonomous Vehicles | Lex Fridman Podcast #31",828570,7176,iwcYp-XT7UI,2019-08-05 00:00:00,https://www.youtube.com/watch?v=iwcYp-XT7UI,George Hotz,"Comma.ai, OpenPilot, and Autonomous Vehicles"
32.0,Paola Arlotta: Brain Development from Stem Cell to Organoid | Lex Fridman Podcast #32,33441,3462,lVHRs3uTHNI,2019-08-12 00:00:00,https://www.youtube.com/watch?v=lVHRs3uTHNI,Paola Arlotta,Brain Development from Stem Cell to Organoid
33.0,Keoki Jackson: Lockheed Martin | Lex Fridman Podcast #33,39610,4386,anXep8kBOCg,2019-08-19 00:00:00,https://www.youtube.com/watch?v=anXep8kBOCg,Keoki Jackson,Lockheed Martin
34.0,Pamela McCorduck: Machines Who Think and the Early Days of AI | Lex Fridman Podcast #34,21539,3606,i6rnzk8VU24,2019-08-23 00:00:00,https://www.youtube.com/watch?v=i6rnzk8VU24,Pamela McCorduck,Machines Who Think and the Early Days of AI
35.0,Jeremy Howard: fast.ai Deep Learning Courses and Research | Lex Fridman Podcast #35,124435,6251,J6XcP4JOHmk,2019-08-27 00:00:00,https://www.youtube.com/watch?v=J6XcP4JOHmk,Jeremy Howard,fast.ai Deep Learning Courses and Research
36.0,"Yann LeCun: Deep Learning, ConvNets, and Self-Supervised Learning | Lex Fridman Podcast #36",165645,4558,SGSOCuByo24,2019-08-31 00:00:00,https://www.youtube.com/watch?v=SGSOCuByo24,Yann LeCun,"Deep Learning, ConvNets, and Self-Supervised Learning"
37.0,Vijay Kumar: Flying Robots | Lex Fridman Podcast #37,41661,3407,HYsLTNXMl1Q,2019-09-08 00:00:00,https://www.youtube.com/watch?v=HYsLTNXMl1Q,Vijay Kumar,Flying Robots
38.0,"François Chollet: Keras, Deep Learning, and the Progress of AI | Lex Fridman Podcast #38",162241,7189,Bo8MY4JpiXE,2019-09-14 00:00:00,https://www.youtube.com/watch?v=Bo8MY4JpiXE,François Chollet,"Keras, Deep Learning, and the Progress of AI"
39.0,Colin Angle: iRobot CEO | Lex Fridman Podcast #39,27046,2258,1d9Dj9dT_pw,2019-09-19 00:00:00,https://www.youtube.com/watch?v=1d9Dj9dT_pw,Colin Angle,iRobot CEO
40.0,Regina Barzilay: Deep Learning for Cancer Diagnosis and Treatment | Lex Fridman Podcast #40,34086,4649,x0-zGdlpTeg,2019-09-23 00:00:00,https://www.youtube.com/watch?v=x0-zGdlpTeg,Regina Barzilay,Deep Learning for Cancer Diagnosis and Treatment
41.0,"Leonard Susskind: Quantum Mechanics, String Theory and Black Holes | Lex Fridman Podcast #41",876846,3449,s78hvV3QLUE,2019-09-26 00:00:00,https://www.youtube.com/watch?v=s78hvV3QLUE,Leonard Susskind,"Quantum Mechanics, String Theory and Black Holes"
42.0,Peter Norvig: Artificial Intelligence: A Modern Approach | Lex Fridman Podcast #42,79038,3792,_VPxEcT_Adc,2019-09-30 00:00:00,https://www.youtube.com/watch?v=_VPxEcT_Adc,Peter Norvig,Artificial Intelligence
43.0,Gary Marcus: Toward a Hybrid of Deep Learning and Symbolic AI | Lex Fridman Podcast #43,84715,5101,vNOTDn3D_RI,2019-10-03 00:00:00,https://www.youtube.com/watch?v=vNOTDn3D_RI,Gary Marcus,Toward a Hybrid of Deep Learning and Symbolic AI
44.0,"David Ferrucci: IBM Watson, Jeopardy & Deep Conversations with AI | Lex Fridman Podcast #44",62594,8671,Whtt2H5_isM,2019-10-11 00:00:00,https://www.youtube.com/watch?v=Whtt2H5_isM,David Ferrucci,"IBM Watson, Jeopardy & Deep Conversations with AI"
45.0,"Michio Kaku: Future of Humans, Aliens, Space Travel & Physics | Lex Fridman Podcast #45",4522315,3660,kD5yc1LQrpQ,2019-10-22 00:00:00,https://www.youtube.com/watch?v=kD5yc1LQrpQ,Michio Kaku,"Future of Humans, Aliens, Space Travel & Physics"
46.0,"Garry Kasparov: Chess, Deep Blue, AI, and Putin | Lex Fridman Podcast #46",724494,3324,8RVa0THWUWw,2019-10-27 00:00:00,https://www.youtube.com/watch?v=8RVa0THWUWw,Garry Kasparov,"Chess, Deep Blue, AI, and Putin"
47.0,Sean Carroll: Quantum Mechanics and the Many-Worlds Interpretation | Lex Fridman Podcast #47,980105,5398,iNqqOLscOBY,2019-11-01 00:00:00,https://www.youtube.com/watch?v=iNqqOLscOBY,Sean Carroll,Quantum Mechanics and the Many-Worlds Interpretation
48.0,Bjarne Stroustrup: C++ | Lex Fridman Podcast #48,996470,6433,uTxRF5ag27A,2019-11-07 00:00:00,https://www.youtube.com/watch?v=uTxRF5ag27A,Bjarne Stroustrup,C++
49.0,"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot | Lex Fridman Podcast #49",2360308,2170,smK9dgdTl40,2019-11-12 00:00:00,https://www.youtube.com/watch?v=smK9dgdTl40,Elon Musk,"Neuralink, AI, Autopilot, and the Pale Blue Dot"
50.0,"Michael Kearns: Algorithmic Fairness, Privacy & Ethics | Lex Fridman Podcast #50",44724,6535,AzdxbzHtjgs,2019-11-19 00:00:00,https://www.youtube.com/watch?v=AzdxbzHtjgs,Michael Kearns,"Algorithmic Fairness, Privacy & Ethics"
51.0,"Dava Newman: Space Exploration, Space Suits, and Life on Mars | Lex Fridman Podcast #51",56040,2372,2fI6bYnRgSc,2019-11-22 00:00:00,https://www.youtube.com/watch?v=2fI6bYnRgSc,Dava Newman,"Space Exploration, Space Suits, and Life on Mars"
52.0,"Gilbert Strang: Linear Algebra, Teaching, and MIT OpenCourseWare | Lex Fridman Podcast #52",287619,2993,lEZPfmGCEk0,2019-11-25 00:00:00,https://www.youtube.com/watch?v=lEZPfmGCEk0,Gilbert Strang,"Linear Algebra, Teaching, and MIT OpenCourseWare"
53.0,"Noam Chomsky: Language, Cognition, and Deep Learning | Lex Fridman Podcast #53",495817,2146,cMscNuSUy0I,2019-11-29 00:00:00,https://www.youtube.com/watch?v=cMscNuSUy0I,Noam Chomsky,"Language, Cognition, and Deep Learning"
54.0,"Ray Dalio: Principles, the Economic Machine, AI & the Arc of Life | Lex Fridman Podcast #54",554374,5420,M95m2EFb7IQ,2019-12-02 00:00:00,https://www.youtube.com/watch?v=M95m2EFb7IQ,Ray Dalio,"Principles, the Economic Machine, AI & the Arc of Life"
55.0,"Whitney Cummings: Comedy, Robotics, Neurology, and Love | Lex Fridman Podcast #55",373700,4618,0-3kw5BEKB8,2019-12-05 00:00:00,https://www.youtube.com/watch?v=0-3kw5BEKB8,Whitney Cummings,"Comedy, Robotics, Neurology, and Love"
56.0,"Judea Pearl: Causal Reasoning, Counterfactuals, and the Path to AGI | Lex Fridman Podcast #56",102477,4981,pEBI0vF45ic,2019-12-11 00:00:00,https://www.youtube.com/watch?v=pEBI0vF45ic,Judea Pearl,"Causal Reasoning, Counterfactuals, and the Path to AGI"
57.0,Rohit Prasad: Amazon Alexa and Conversational AI | Lex Fridman Podcast #57,55798,6357,Ad89JYS-uZM,2019-12-14 00:00:00,https://www.youtube.com/watch?v=Ad89JYS-uZM,Rohit Prasad,Amazon Alexa and Conversational AI
58.0,Michael Stevens: Vsauce | Lex Fridman Podcast #58,510626,3513,3qMemn__kK8,2019-12-17 00:00:00,https://www.youtube.com/watch?v=3qMemn__kK8,Michael Stevens,Vsauce
59.0,"Sebastian Thrun: Flying Cars, Autonomous Vehicles, and Education | Lex Fridman Podcast #59",67579,4714,ZPPAOakITeQ,2019-12-21 00:00:00,https://www.youtube.com/watch?v=ZPPAOakITeQ,Sebastian Thrun,"Flying Cars, Autonomous Vehicles, and Education"
60.0,"Jim Gates: Supersymmetry, String Theory and Proving Einstein Right | Lex Fridman Podcast #60",811052,5700,IUHkhB366tE,2019-12-25 00:00:00,https://www.youtube.com/watch?v=IUHkhB366tE,Jim Gates,"Supersymmetry, String Theory and Proving Einstein Right"
61.0,"Melanie Mitchell: Concepts, Analogies, Common Sense & Future of AI | Lex Fridman Podcast #61",87757,6760,ImKkaeUx1MU,2019-12-28 00:00:00,https://www.youtube.com/watch?v=ImKkaeUx1MU,Melanie Mitchell,"Concepts, Analogies, Common Sense & Future of AI"
62.0,"Donald Knuth: Algorithms, Complexity, and The Art of Computer Programming | Lex Fridman Podcast #62",377566,6356,2BdBfsXbST8,2019-12-30 00:00:00,https://www.youtube.com/watch?v=2BdBfsXbST8,Donald Knuth,"Algorithms, Complexity, and The Art of Computer Programming"
63.0,"Stephen Kotkin: Stalin, Putin, and the Nature of Power | Lex Fridman Podcast #63",768129,5842,oCkkjnpS2f8,2020-01-03 00:00:00,https://www.youtube.com/watch?v=oCkkjnpS2f8,Stephen Kotkin,"Stalin, Putin, and the Nature of Power"
64.0,Grant Sanderson: 3Blue1Brown and the Beauty of Mathematics | Lex Fridman Podcast #64,509840,3765,U_lKUK2MCsg,2020-01-07 00:00:00,https://www.youtube.com/watch?v=U_lKUK2MCsg,Grant Sanderson,3Blue1Brown and the Beauty of Mathematics
65.0,"Daniel Kahneman: Thinking Fast and Slow, Deep Learning, and AI | Lex Fridman Podcast #65",406589,4721,UwwBG-MbniY,2020-01-14 00:00:00,https://www.youtube.com/watch?v=UwwBG-MbniY,Daniel Kahneman,"Thinking Fast and Slow, Deep Learning, and AI"
66.0,Ayanna Howard: Human-Robot Interaction & Ethics of Safety-Critical Systems | Lex Fridman Podcast #66,27098,5997,J21-7AsUcgM,2020-01-17 00:00:00,https://www.youtube.com/watch?v=J21-7AsUcgM,Ayanna Howard,Human-Robot Interaction & Ethics of Safety-Critical Systems
67.0,"Paul Krugman: Economics of Innovation, Automation, Safety Nets & UBI | Lex Fridman Podcast #67",172663,3792,OJQepiqSWvg,2020-01-21 00:00:00,https://www.youtube.com/watch?v=OJQepiqSWvg,Paul Krugman,"Economics of Innovation, Automation, Safety Nets & UBI"
68.0,Cristos Goodrow: YouTube Algorithm | Lex Fridman Podcast #68,51015,5452,nkWmiNRPU-c,2020-01-25 00:00:00,https://www.youtube.com/watch?v=nkWmiNRPU-c,Cristos Goodrow,YouTube Algorithm
69.0,David Chalmers: The Hard Problem of Consciousness | Lex Fridman Podcast #69,446590,5928,LW59lMvxmY4,2020-01-29 00:00:00,https://www.youtube.com/watch?v=LW59lMvxmY4,David Chalmers,The Hard Problem of Consciousness
70.0,"Jim Keller: Moore's Law, Microprocessors, and First Principles | Lex Fridman Podcast #70",594485,5683,Nb2tebYAaOA,2020-02-05 00:00:00,https://www.youtube.com/watch?v=Nb2tebYAaOA,Jim Keller,"Moore's Law, Microprocessors, and First Principles"
71.0,"Vladimir Vapnik: Predicates, Invariants, and the Essence of Intelligence | Lex Fridman Podcast #71",48176,6295,bQa7hpUpMzM,2020-02-14 00:00:00,https://www.youtube.com/watch?v=bQa7hpUpMzM,Vladimir Vapnik,"Predicates, Invariants, and the Essence of Intelligence"
72.0,Scott Aaronson: Quantum Computing | Lex Fridman Podcast #72,225854,5621,uX5t8EivCaM,2020-02-17 00:00:00,https://www.youtube.com/watch?v=uX5t8EivCaM,Scott Aaronson,Quantum Computing
73.0,"Andrew Ng: Deep Learning, Education, and Real-World AI | Lex Fridman Podcast #73",532565,5350,0jspaMLxBig,2020-02-20 00:00:00,https://www.youtube.com/watch?v=0jspaMLxBig,Andrew Ng,"Deep Learning, Education, and Real-World AI"
74.0,"Michael I. Jordan: Machine Learning, Recommender Systems, and Future of AI | Lex Fridman Podcast #74",161916,6349,EYIKy_FM9x0,2020-02-24 00:00:00,https://www.youtube.com/watch?v=EYIKy_FM9x0,Michael I. Jordan,"Machine Learning, Recommender Systems, and Future of AI"
75.0,"Marcus Hutter: Universal Artificial Intelligence, AIXI, and AGI | Lex Fridman Podcast #75",98145,5995,E1AxVXt2Gv4,2020-02-26 00:00:00,https://www.youtube.com/watch?v=E1AxVXt2Gv4,Marcus Hutter,"Universal Artificial Intelligence, AIXI, and AGI"
76.0,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast #76,104115,4368,DKyzcbNr8WE,2020-02-29 00:00:00,https://www.youtube.com/watch?v=DKyzcbNr8WE,John Hopfield,Physics View of the Mind and Neurobiology
77.0,"Alex Garland: Ex Machina, Devs, Annihilation, and the Poetry of Science | Lex Fridman Podcast #77",154788,4269,gU-mkuMU428,2020-03-03 00:00:00,https://www.youtube.com/watch?v=gU-mkuMU428,Alex Garland,"Ex Machina, Devs, Annihilation, and the Poetry of Science"
78.0,"Ann Druyan: Cosmos, Carl Sagan, Voyager, and the Beauty of Science | Lex Fridman Podcast #78",56987,4152,7jFdxd1qX2g,2020-03-05 00:00:00,https://www.youtube.com/watch?v=7jFdxd1qX2g,Ann Druyan,"Cosmos, Carl Sagan, Voyager, and the Beauty of Science"
79.0,Lee Smolin: Quantum Gravity and Einstein's Unfinished Revolution | Lex Fridman Podcast #79,214348,4191,WgLo4gmEraU,2020-03-07 00:00:00,https://www.youtube.com/watch?v=WgLo4gmEraU,Lee Smolin,Quantum Gravity and Einstein's Unfinished Revolution
80.0,"Vitalik Buterin: Ethereum, Cryptocurrency, and the Future of Money | Lex Fridman Podcast #80",2091882,5704,3x1b_S6Qp2Q,2020-03-16 00:00:00,https://www.youtube.com/watch?v=3x1b_S6Qp2Q,Vitalik Buterin,"Ethereum, Cryptocurrency, and the Future of Money"
81.0,Anca Dragan: Human-Robot Interaction and Reward Engineering | Lex Fridman Podcast #81,66782,5913,iOCfIFBBpVY,2020-03-19 00:00:00,https://www.youtube.com/watch?v=iOCfIFBBpVY,Anca Dragan,Human-Robot Interaction and Reward Engineering
82.0,"Simon Sinek: Leadership, Hard Work, Optimism and the Infinite Game | Lex Fridman Podcast #82",100440,2269,_TTNGq9djU4,2020-03-21 00:00:00,https://www.youtube.com/watch?v=_TTNGq9djU4,Simon Sinek,"Leadership, Hard Work, Optimism and the Infinite Game"
83.0,Nick Bostrom: Simulation and Superintelligence | Lex Fridman Podcast #83,888196,6998,rfKiTGj-zeQ,2020-03-25 00:00:00,https://www.youtube.com/watch?v=rfKiTGj-zeQ,Nick Bostrom,Simulation and Superintelligence
85.0,Roger Penrose: Physics of Consciousness and the Infinite Universe | Lex Fridman Podcast #85,1994717,5277,orMtwOz6Db0,2020-03-31 00:00:00,https://www.youtube.com/watch?v=orMtwOz6Db0,Roger Penrose,Physics of Consciousness and the Infinite Universe
86.0,"David Silver: AlphaGo, AlphaZero, and Deep Reinforcement Learning | Lex Fridman Podcast #86",376071,6481,uPUEq8d73JI,2020-04-03 00:00:00,https://www.youtube.com/watch?v=uPUEq8d73JI,David Silver,"AlphaGo, AlphaZero, and Deep Reinforcement Learning"
